sentiment,response
pusing,"Baru saja mengalami kelelahan fisik sekarang kepalaku terasa pusing.  Minum air yang cukup untuk menjaga tubuh terhidrasi, karena dehidrasi dapat menjadi penyebab kepala berdenyut."
sakit mata,Setelah membaca buku dalam waktu yang lama.  Istirahatlah mata selama beberapa menit dengan berfokus pada objek yang jauh setelah membaca buku dalam waktu lama untuk meredakan kelelahan mata.
sakit mata,Mataku tidak nyaman setelah terpapar debu dan polusi udara. Gunakan tetes mata atau air mata buatan untuk memberikan kelembapan dan meredakan ketidaknyamanan akibat paparan debu dan polusi.
sakit mata,Buatlah kebiasaan melakukan istirahat mata secara teratur dengan menerapkan aturan 20-20-20: setiap 20 menit
sakit mata,Pertimbangkan untuk menggunakan kacamata khusus yang dapat mengurangi ketegangan mata akibat penggunaan ponsel.
sakit mata,Istirahatlah dengan cukup dan pastikan tidur yang berkualitas untuk memulihkan tubuh dan mengurangi kelelahan mata.
diabetes,"Sebaiknya hindari atau batasi konsumsi gula dan pemanis buatan, karena dapat mempengaruhi kadar gula darah. Pilih pemanis alami atau alternatif rendah gula jika perlu."
diabetes,Pilih buah-buahan rendah gula dan konsumsi dalam porsi terkendali. Hindari buah-buahan dengan kadar gula tinggi. 
diabetes,"Batasilah konsumsi makanan berlemak, terutama lemak jenuh dan trans. Pilih lemak sehat dari sumber seperti alpukat, kacang-kacangan, dan ikan."
diabetes,"Konsumsi alkohol dengan bijak dan dalam batas yang aman. Minuman beralkohol dapat mempengaruhi kadar gula darah, jadi perlu diperhatikan. "
diabetes,"Olahraga sangat baik untuk diabetes. Lakukan aktivitas fisik secara teratur untuk membantu mengontrol kadar gula darah. Namun, konsultasikan dengan dokter sebelum memulai program olahraga baru."
pilek,"Sebaiknya hindari minuman berkarbonasi, karena dapat menyebabkan perut kembung dan tidak nyaman. Pilih minuman hangat atau jus segar untuk membantu meredakan gejala pilek."
pilek,"Hindari makanan pedas, karena dapat menyebabkan iritasi pada tenggorokan. Pilih makanan yang mudah dicerna dan lembut untuk menghindari peningkatan iritasi."
pilek,"Sebaiknya hindari minum susu, karena dapat meningkatkan produksi lendir. Pilih minuman non-susu atau minuman herbal yang dapat membantu meredakan gejala pilek."
pilek,"Istirahatlah dan hindari olahraga intensif saat pilek ringan. Tubuh Anda membutuhkan istirahat untuk pulih. Jika ingin beraktivitas, pilih aktivitas ringan seperti berjalan-jalan."
pilek,"Sebaiknya hindari alkohol, karena dapat menyebabkan dehidrasi dan melemahkan sistem kekebalan tubuh. Fokus pada konsumsi air dan minuman sehat untuk membantu pemulihan."
masuk angin,"Sebaiknya hindari makanan atau minuman yang terlalu dingin, termasuk es krim, karena dapat memperburuk gejala masuk angin. Pilih minuman hangat dan makanan ringan."
masuk angin,"Hindari kopi atau minuman berkafein lainnya, karena kafein dapat menyebabkan dehidrasi. Pilih minuman herbal atau teh hangat untuk membantu meredakan gejala masuk angin."
masuk angin,"Istirahatlah dan hindari berolahraga intensif saat masuk angin. Tubuh Anda membutuhkan waktu untuk pulih. Jika ingin beraktivitas, pilih aktivitas ringan seperti berjalan-jalan singkat."
masuk angin,Rokok dapat merusak sistem pernapasan dan memperburuk gejala masuk angin. Sebaiknya hindari merokok dan beri tubuh kesempatan untuk pulih. 
masuk angin,"Hindari konsumsi alkohol saat masuk angin, karena dapat menyebabkan dehidrasi. Prioritaskan hidrasi dengan minum air putih atau minuman hangat. "
darah tinggi,"Sebaiknya hindari makanan tinggi garam, karena dapat meningkatkan tekanan darah. Pilih makanan rendah garam dan pertimbangkan alternatif rempah untuk memberikan rasa pada hidangan."
darah tinggi,"Hindari konsumsi kopi berlebihan, karena kafein dapat meningkatkan tekanan darah. Pilih minuman rendah kafein atau dekaf sebagai alternatif."
darah tinggi,"Pastikan untuk berkonsultasi dengan dokter Anda, namun umumnya, olahraga ringan hingga sedang seperti berjalan cepat atau berenang dapat membantu menurunkan tekanan darah. Hindari olahraga yang terlalu intensif tanpa pengawasan medis."
darah tinggi,"Minumlah alkohol dengan bijak atau hindari sepenuhnya, karena konsumsi berlebihan dapat meningkatkan tekanan darah. Prioritaskan hidrasi dengan air dan batasi asupan alkohol."
darah tinggi,"Merokok dapat menyebabkan penyempitan pembuluh darah dan meningkatkan tekanan darah. Jadi, sebaiknya hindari atau berhenti merokok untuk membantu mengelola tekanan darah Anda."
